,Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
114,115,66228840,렌탈,교체계약,영업방판,2020-06-30,60,CMS,DES-1,96900, 개인,60.0,경기도,경기도,계약확정,0,없음,여자,3.0,농협회원조합
115,116,66758444,렌탈,프로모션계약,전문매장H,2020-06-20,60,CMS,DES-1,96900, 개인,79.0,경기도,경기도,계약확정,0,없음,남자,1.0,농협회원조합
116,117,66758453,렌탈,프로모션계약,전문매장H,2020-06-20,60,CMS,DES-1,96900, 개인,58.0,경기도,경기도,계약확정,0,없음,여자,8.0,국민은행
117,118,66423309,멤버십,멤버십3유형,재계약,2019-01-25,12,CMS,DES-1,78900, 개인,55.0,서울특별시,서울특별시,계약확정,0,없음,남자,3.0,신한은행
118,119,66756385,렌탈,패키지계약,홈쇼핑/방송,2019-01-31,60,카드이체,DES-1,81900, 개인,52.0,서울특별시,서울특별시,계약확정,0,없음,남자,1.0,국민카드
119,120,66756385,렌탈,패키지계약,홈쇼핑/방송,2019-01-01,60,카드이체,DES-2,81900, 개인,52.0,서울특별시,서울특별시,계약확정,0,없음,남자,1.0,국민카드
120,121,66571632,렌탈,교체계약,영업방판,2019-01-01,60,CMS,DES-1,96900, 개인,40.0,서울특별시,서울특별시,계약확정,0,없음,남자,1.0,우리은행
121,122,25742745,렌탈,일반계약,영업방판,2019-01-01,60,CMS,DES-1,96900, 사업자,66.0,서울특별시,서울특별시,계약확정,0,없음,여자,,국민은행
122,123,66756204,렌탈,일반계약,영업방판,2019-04-06,36,CMS,DES-2,102900, 개인,51.0,전라도,전라도,계약확정,0,없음,남자,5.0,농협중앙회
123,124,66755839,렌탈,프로모션계약,전문매장Z,2019-04-22,60,CMS,DES-1,96900, 개인,53.0,전라도,전라도,계약확정,0,없음,남자,5.0,기업은행
124,125,66424303,렌탈,일반계약,영업방판,2019-07-09,60,CMS,DES-1,96900, 개인,45.0,서울특별시,서울특별시,계약확정,0,없음,남자,1.0,우리은행
125,126,66171115,렌탈,교체계약,영업방판,2019-09-23,60,CMS,DES-1,102900, 개인,41.0,서울특별시,서울특별시,계약확정,0,없음,여자,6.0,신한은행
126,127,66466141,렌탈,프로모션계약,영업방판,2019-06-18,60,CMS,DES-1,111900, 개인,45.0,서울특별시,서울특별시,계약확정,0,없음,여자,6.0,국민은행
127,128,66758648,렌탈,패키지계약,전문매장H,2019-05-29,60,카드이체,DES-1,81900, 개인,45.0,서울특별시,서울특별시,계약확정,0,없음,여자,1.0,삼성카드
128,129,66758815,렌탈,일반계약,영업방판,2019-06-18,60,카드이체,DES-1,96900, 개인,52.0,경기도,경기도,계약확정,0,없음,여자,3.0,국민카드
129,130,66758458,렌탈,프로모션계약,전문매장H,2019-07-23,60,카드이체,DES-1,111900, 개인,62.0,경기도,경기도,계약확정,0,없음,여자,1.0,롯데카드
130,131,66423812,멤버십,멤버십3유형,재계약,2019-09-06,12,CMS,DES-1,66900, 개인,59.0,경기도,경기도,계약확정,0,없음,여자,2.0,국민은행
131,132,66758645,렌탈,프로모션계약,전문매장Z,2019-10-18,60,CMS,DES-1,96900, 개인,75.0,경기도,경기도,해약확정,0,없음,여자,2.0,농협회원조합
132,133,66419641,멤버십,멤버십3유형,재계약,2020-03-02,12,CMS,DES-1,66900, 개인,40.0,경상도,경상도,해약확정,0,없음,여자,,농협중앙회
133,134,66758816,렌탈,일반계약,영업방판,2020-07-09,60,카드이체,DES-1,96900, 개인,43.0,경상도,경상도,계약확정,0,없음,여자,4.0,현대카드
134,135,66337747,렌탈,일반계약,영업방판,2020-07-30,60,카드이체,DES-1,96900, 개인,43.0,경상도,경상도,계약확정,0,없음,여자,3.0,현대카드
135,136,66423261,멤버십,멤버십3유형,재계약,2020-07-30,12,CMS,DES-1,66900, 개인,49.0,경상도,경상도,계약확정,0,없음,여자,,농협회원조합
136,137,66758643,렌탈,패키지계약,홈쇼핑/방송,2019-01-15,60,CMS,DES-1,81900, 개인,61.0,경상도,경상도,계약확정,0,없음,남자,2.0,농협회원조합
137,138,66758643,렌탈,패키지계약,홈쇼핑/방송,2019-01-15,60,CMS,DES-2,81900, 개인,61.0,경상도,경상도,계약확정,0,없음,남자,2.0,농협회원조합
138,139,66758649,렌탈,패키지계약,홈쇼핑/방송,2019-08-28,60,CMS,DES-1,81900, 개인,50.0,전라도,전라도,계약확정,0,없음,여자,2.0,농협회원조합
139,140,66758649,렌탈,패키지계약,홈쇼핑/방송,2019-02-11,60,CMS,DES-2,81900, 개인,50.0,전라도,전라도,계약확정,0,없음,여자,2.0,농협회원조합
140,141,66757909,렌탈,패키지계약,영업방판,2019-02-09,60,CMS,DES-1,104400, 개인,52.0,전라도,전라도,계약확정,4,있음,여자,4.0,신한은행
141,142,66757909,렌탈,패키지계약,영업방판,2020-02-26,60,CMS,DES-2,89400, 개인,52.0,전라도,전라도,계약확정,4,있음,여자,4.0,신한은행
142,143,66757582,렌탈,일반계약,영업방판,2020-06-03,60,CMS,DES-1,96900, 개인,60.0,경상도,경상도,계약확정,0,없음,여자,2.0,농협회원조합
143,144,66758877,렌탈,프로모션계약,홈쇼핑/방송,2019-01-01,60,카드이체,DES-1,96900, 개인,74.0,경기도,경기도,계약확정,0,없음,남자,1.0,신한카드
144,145,66758823,렌탈,프로모션계약,영업방판,2019-10-23,60,카드이체,DES-1,105900, 개인,40.0,경기도,경기도,계약확정,0,없음,여자,4.0,삼성카드
145,146,66144165,렌탈,교체계약,영업방판,2020-05-24,60,CMS,DES-1,96900, 개인,46.0,경기도,경기도,계약확정,0,없음,남자,1.0,국민은행
146,147,25742895,렌탈,일반계약,영업방판,2020-05-24,60,CMS,DES-3A,102900, 사업자,44.0,경기도,경기도,계약확정,0,없음,여자,,신한은행
147,148,66757782,렌탈,패키지계약,홈쇼핑/방송,2020-06-22,60,카드이체,DES-1,81900, 개인,47.0,경상도,부산광역시,계약확정,0,없음,여자,1.0,신한카드
148,149,66757782,렌탈,패키지계약,홈쇼핑/방송,2020-06-23,60,카드이체,DES-2,81900, 개인,47.0,경상도,부산광역시,계약확정,0,없음,여자,1.0,신한카드
149,150,66758072,렌탈,프로모션계약,영업방판,2020-07-21,60,CMS,DES-1,96900, 개인,58.0,경상도,부산광역시,계약확정,0,없음,여자,8.0,농협중앙회
